name,manaCost,types,subtypes,supertypes,power,toughness,text,keywords,colors,rarity,setCode,layout
Aang and Katara,{3}{G}{W}{U},Creature,"Human, Avatar, Ally",Legendary,5,5,"Whenever Aang and Katara enter or attack, create X 1/1 white Ally creature tokens, where X is the number of tapped artifacts and/or creatures you control.",,"W, U, G",rare,TLE,normal
"Aang, A Lot to Learn",{2}{G/W},Creature,"Human, Avatar, Ally",Legendary,3,2,"Aang has vigilance as long as there's a Lesson card in your graveyard.
Whenever another creature you control dies, put a +1/+1 counter on Aang.",,"W, G",uncommon,TLE,normal
"Aang, Air Nomad",{3}{W}{W},Creature,"Human, Avatar, Ally",Legendary,5,4,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Vigilance (Attacking doesn't cause this creature to tap.)
Other creatures you control have vigilance.","Flying, Vigilance",W,rare,TLE,normal
"Aang, Airbending Master",{4}{W},Creature,"Human, Avatar, Ally",Legendary,4,4,"When Aang enters, airbend another target creature. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever one or more creatures you control leave the battlefield without dying, you get an experience counter.
At the beginning of your upkeep, create a 1/1 white Ally creature token for each experience counter you have.",Airbend,W,mythic,TLE,normal
"Aang, at the Crossroads // Aang, Destined Savior",{2}{G}{W}{U},Creature,"Human, Avatar, Ally",Legendary,3,3,"Flying
When Aang enters, look at the top five cards of your library. You may put a creature card with mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
When another creature you control leaves the battlefield, transform Aang at the beginning of the next upkeep.","Flying, Transform, Earthbend","W, U, G",rare,TLA,transform
"Aang, Swift Savior // Aang and La, Ocean's Fury",{1}{W}{U},Creature,"Human, Avatar, Ally",Legendary,2,3,"Flash
Flying
When Aang enters, airbend up to one other target creature or spell. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Waterbend {8}: Transform Aang.","Flying, Reach, Airbend, Transform, Trample, Flash, Waterbend","W, U",rare,TLA,transform
"Aang, the Last Airbender",{3}{W},Creature,"Human, Avatar, Ally",Legendary,3,2,"Flying
When Aang enters, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever you cast a Lesson spell, Aang gains lifelink until end of turn.","Flying, Airbend",W,uncommon,TLA,normal
Aang's Defense,{W},Instant,,,,,"Target blocking creature you control gets +2/+2 until end of turn.
Draw a card.",,W,common,TLE,normal
Aang's Iceberg,{2}{W},Enchantment,,,,,"Flash
When this enchantment enters, exile up to one other target nonland permanent until this enchantment leaves the battlefield.
Waterbend {3}: Sacrifice this enchantment. If you do, scry 2. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)","Flash, Waterbend, Scry",W,rare,TLA,normal
Aang's Journey,{2},Sorcery,Lesson,,,,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Search your library for a basic land card. If this spell was kicked, instead search your library for a basic land card and a Shrine card. Reveal those cards, put them into your hand, then shuffle.
You gain 2 life.",Kicker,,common,TLA,normal
